target_id	length	eff_length	est_counts	tpm
FBtr0078950	1533	1351.38	336.733	29.9031
FBtr0070990	1321	1139.38	7.55033	0.795252
FBtr0100409	805	623.382	0	0
FBtr0343330	706	524.382	459.525	105.165
FBtr0304902	1617	1435.38	5.85444	0.48947
FBtr0304901	2286	2104.38	3.14556	0.179383
FBtr0078872	1228	1046.38	1	0.114688
FBtr0077839	2112	1930.38	198.169	12.3197
FBtr0077837	2331	2149.38	17.2363	0.96236
FBtr0077838	2235	2053.38	4.07036e-06	2.37888e-07
FBtr0077836	2325	2143.38	505.595	28.3081
FBtr0075133	4018	3836.38	10.4934	0.328248
FBtr0332862	2190	2008.38	62.5066	3.73498
FBtr0087988	1754	1572.38	2257.92	172.329
FBtr0087987	1948	1766.38	7020	476.937
FBtr0074688	1633	1451.38	615	50.8512
FBtr0086864	3503	3321.38	363	13.1158
FBtr0083361	1283	1101.38	0	0
FBtr0392904	4164	3982.38	325.996	9.82377
FBtr0084588	2385	2203.38	1814.3	98.8162
FBtr0303161	2639	2457.38	206.564	10.0877
FBtr0079257	1918	1736.38	232	16.0343
FBtr0307341	906	724.382	0	0
FBtr0084989	527	345.382	0.83636	0.290604
FBtr0306309	750	568.382	0	0
FBtr0344570	539	357.382	1	0.335796
FBtr0078090	1219	1037.38	283	32.7383
FBtr0087439	546	364.382	77	25.3596
FBtr0070960	2096	1914.38	6	0.376124
FBtr0302357	2296	2114.38	0	0
FBtr0302356	2428	2246.38	0	0
FBtr0340571	3830	3648.38	0	0
FBtr0340572	3825	3643.38	0	0
FBtr0080267	3305	3123.38	0	0
FBtr0077141	787	605.382	0	0
FBtr0306593	981	799.382	0	0
FBtr0081719	1938	1756.38	1195	81.6502
FBtr0071549	1655	1473.38	408	33.2317
FBtr0308832	1068	886.382	103.541	14.0184
FBtr0308833	2043	1861.38	460.616	29.6969
FBtr0074921	2263	2081.38	37.8433	2.18195
FBtr0073011	1996	1814.38	1	0.0661423
FBtr0112378	450	268.382	0	0
FBtr0342602	1596	1414.38	0	0
FBtr0080326	1217	1035.38	754	87.3934
FBtr0085405	675	493.382	740	179.993
FBtr0339295	331	149.415	0	0
FBtr0300316	205	28.814	0	0
FBtr0300904	2130	1948.38	0	0
FBtr0081633	2196	2014.38	0	0
FBtr0300905	2052	1870.38	0	0
FBtr0335279	1234	1052.38	0	0
FBtr0335281	1199	1017.38	0	0
FBtr0290216	733	551.382	0	0
FBtr0335280	740	558.382	0	0
FBtr0077120	1711	1529.38	215.197	16.8861
FBtr0081676	887	705.382	0	0
FBtr0076639	2093	1911.38	2	0.125571
FBtr0079280	1148	966.382	2	0.248364
FBtr0304827	5797	5615.38	0	0
FBtr0433494	6405	6223.38	22.351	0.431002
FBtr0333832	6581	6399.38	0	0
FBtr0433497	5654	5472.38	0.0185242	0.000406229
FBtr0333833	6118	5936.38	0	0
FBtr0433496	5848	5666.38	3.92669	0.0831628
FBtr0304826	8410	8228.38	3.05459e-07	4.45499e-09
FBtr0433495	8302	8120.38	3.3092	0.0489052
FBtr0433493	8251	8069.38	0	0
FBtr0300808	2019	1837.38	0	0
FBtr0300809	4061	3879.38	0	0
FBtr0301700	4064	3882.38	0	0
FBtr0072287	5108	4926.38	1170	28.5014
FBtr0343633	2816	2634.38	0	0
FBtr0074281	2640	2458.38	1358.71	66.3261
FBtr0343632	2730	2548.38	77.2809	3.63928
FBtr0074279	3898	3716.38	1146.37	37.0179
FBtr0074280	3895	3713.38	38.6443	1.24889
FBtr0072238	1035	853.382	0	0
FBtr0308073	1317	1135.38	11.3013	1.19452
FBtr0082360	764	582.382	397.699	81.951
FBtr0082361	1024	842.382	0	0
FBtr0079938	1428	1246.38	42	4.04395
FBtr0077227	1279	1097.38	841.389	92.0126
FBtr0091702	1278	1096.38	17.6108	1.92764
FBtr0074882	2425	2243.38	439.949	23.5346
FBtr0332153	3588	3406.38	55.6503	1.96057
FBtr0310476	2042	1860.38	49.9424	3.22163
FBtr0100666	2416	2234.38	136.147	7.31238
FBtr0332726	2033	1851.38	11.3111	0.733188
FBtr0080287	1089	907.382	197.262	26.0893
FBtr0309307	5887	5705.38	0	0
FBtr0300898	5037	4855.38	1	0.0247164
FBtr0080024	1050	868.382	70	9.67376
FBtr0077389	2263	2081.38	1683	97.0377
FBtr0290204	1958	1776.38	0	0
FBtr0086689	848	666.382	101.122	18.2109
FBtr0306636	1574	1392.38	222.249	19.1553
FBtr0086687	1472	1290.38	155.963	14.5048
FBtr0086690	2195	2013.38	0	0
FBtr0086686	1532	1350.38	0	0
FBtr0340359	2225	2043.38	67.2795	3.95131
FBtr0301148	981	799.382	592.812	88.9961
FBtr0086684	908	726.382	0	0
FBtr0306637	2237	2055.38	0	0
FBtr0301149	1514	1332.38	9.57377	0.862308
FBtr0086600	1106	924.382	0	0
FBtr0331978	1118	936.382	196	25.1195
FBtr0078769	621	439.382	15176	4144.99
FBtr0070712	1878	1696.38	8	0.565945
FBtr0343263	1108	926.382	0	0
FBtr0343264	928	746.382	0	0
FBtr0072024	920	738.382	0	0
FBtr0113111	979	797.382	0	0
FBtr0333452	4664	4482.38	0	0
FBtr0333450	3996	3814.38	11	0.34608
FBtr0333451	4043	3861.38	3.31749e-06	1.03104e-07
FBtr0300831	4092	3910.38	0	0
FBtr0076303	1640	1458.38	22.0906	1.81779
FBtr0076302	1655	1473.38	5.54139	0.451348
FBtr0076301	2049	1867.38	1112.37	71.4864
FBtr0077098	1123	941.382	752.803	95.9674
FBtr0070552	1047	865.382	1	0.138676
FBtr0075818	1346	1164.38	317	32.6717
FBtr0088789	1908	1726.38	80	5.56111
FBtr0304960	503	321.382	0	0
FBtr0075249	843	661.382	0	0
FBtr0084104	1804	1622.38	3216	237.887
FBtr0336911	2177	1995.38	129.592	7.79401
FBtr0088974	1597	1415.38	211.077	17.8968
FBtr0100360	4963	4781.38	29.2274	0.733575
FBtr0110880	2920	2738.38	0	0
FBtr0334105	2225	2043.38	0	0
FBtr0301185	2946	2764.38	0	0
FBtr0110881	4262	4080.38	69.7726	2.05207
FBtr0336928	1138	956.382	2	0.250961
FBtr0072107	995	813.382	0	0
FBtr0085786	2956	2774.38	473.257	20.471
FBtr0085785	3082	2900.38	0	0
FBtr0334549	2894	2712.38	33.7428	1.49293
FBtr0334550	3020	2838.38	0	0
FBtr0340191	4545	4363.38	9.45727e-06	2.60106e-07
FBtr0073848	4477	4295.38	2182	60.9623
FBtr0078387	3371	3189.38	241.698	9.09442
FBtr0087487	2027	1845.38	225	14.632
FBtr0083735	2688	2506.38	0	0
FBtr0332539	2448	2266.38	1	0.0529511
FBtr0077790	977	795.382	0	0
FBtr0331440	941	759.382	0	0
FBtr0331439	971	789.382	0	0
FBtr0082634	1746	1564.38	253	19.4082
FBtr0079612	1320	1138.38	66	6.95767
FBtr0087980	1799	1617.38	0	0
FBtr0087979	1558	1376.38	0	0
FBtr0072044	1063	881.382	0	0
FBtr0343206	1072	890.382	0	0
FBtr0072043	1160	978.382	0	0
FBtr0075225	1132	950.382	0	0
FBtr0112489	446	264.382	27.4643	12.4665
FBtr0339263	740	558.382	3.46597	0.744907
FBtr0301018	2276	2094.38	25	1.43249
FBtr0302526	640	458.382	13.3245	3.48845
FBtr0100009	3280	3098.38	166	6.42956
FBtr0089901	2338	2156.38	0	0
FBtr0089902	1803	1621.38	0	0
FBtr0300562	2617	2435.38	100.499	4.95224
FBtr0089900	2125	1943.38	0	0
FBtr0089904	2355	2173.38	0	0
FBtr0301521	2467	2285.38	13.8484	0.727192
FBtr0089905	2568	2386.38	47.6529	2.39639
FBtr0345390	5214	5032.38	0	0
FBtr0331425	3556	3374.38	156.302	5.55877
FBtr0332155	4408	4226.38	163.698	4.64817
FBtr0075014	3541	3359.38	0	0
FBtr0078874	603	421.382	0	0
FBtr0083452	2975	2793.38	285.998	12.2869
FBtr0302317	2262	2080.38	317.002	18.2863
FBtr0333248	2543	2361.38	0	0
FBtr0114524	2411	2229.38	0	0
FBtr0273385	6171	5989.38	0	0
FBtr0339307	6637	6455.38	15.2347	0.283217
FBtr0273384	6439	6257.38	221.765	4.25313
FBtr0082117	3807	3625.38	80.4406	2.66275
FBtr0082116	6303	6121.38	46.4677	0.910983
FBtr0082118	4671	4489.38	96.0917	2.56866
FBtr0085011	1569	1387.38	1	0.0864992
FBtr0081174	4145	3963.38	0	0
FBtr0081175	3934	3752.38	0	0
FBtr0303241	4041	3859.38	70.389	2.18874
FBtr0081176	3893	3711.38	0	0
FBtr0305129	2997	2815.38	273	11.6368
FBtr0339156	2994	2812.38	0	0
FBtr0339157	2988	2806.38	0	0
FBtr0071784	2049	1867.38	0	0
FBtr0071785	1989	1807.38	807.651	53.6268
FBtr0089148	3050	2868.38	33.6467	1.40771
FBtr0089147	2773	2591.38	0	0
FBtr0089150	2762	2580.38	52.305	2.43258
FBtr0089146	2709	2527.38	76.7694	3.64523
FBtr0308247	2614	2432.38	437.279	21.5742
FBtr0089149	2840	2658.38	0	0
FBtr0302559	2531	2349.38	0	0
FBtr0346506	2597	2415.38	0	0
FBtr0302190	3048	2866.38	68.3025	2.85964
FBtr0086145	3054	2872.38	159.697	6.67212
FBtr0306281	375	193.415	0	0
FBtr0306280	392	210.395	0	0
FBtr0306258	4812	4630.38	42.4735	1.1008
FBtr0073119	3828	3646.38	1973.5	64.9504
FBtr0073120	4106	3924.38	2435.97	74.4919
FBtr0073118	4763	4581.38	2785.16	72.9562
FBtr0337055	3442	3260.38	332.529	12.2397
FBtr0333895	3491	3309.38	2370.25	85.9519
FBtr0337056	4046	3864.38	22.1154	0.686788
FBtr0077442	1411	1229.38	60	5.85696
FBtr0076018	1266	1084.38	16.8251	1.86201
FBtr0076017	963	781.382	81.1749	12.4671
FBtr0339781	3357	3175.38	0	0
FBtr0070778	3093	2911.38	0	0
FBtr0344824	2804	2622.38	0	0
FBtr0345292	830	648.382	40.8117	7.55374
FBtr0070983	837	655.382	56.3126	10.3114
FBtr0070982	1100	918.382	6.93239	0.905874
FBtr0070981	941	759.382	465.861	73.6214
FBtr0070980	854	672.382	28893.1	5156.87
FBtr0307300	2919	2737.38	308.824	13.5389
FBtr0113024	3030	2848.38	0	0
FBtr0332600	2913	2731.38	0	0
FBtr0083414	2815	2633.38	420.466	19.1613
FBtr0337043	3789	3607.38	14.5343	0.483516
FBtr0077516	1338	1156.38	0	0
FBtr0112524	1274	1092.38	13.6407	1.49855
FBtr0089233	3691	3509.38	43.6404	1.49233
FBtr0334626	3376	3194.38	18.5785	0.697963
FBtr0310651	3526	3344.38	0.0610576	0.00219095
FBtr0089229	3501	3319.38	603.72	21.8266
FBtr0082920	981	799.382	0	0
FBtr0077386	1734	1552.38	285.706	22.0866
FBtr0071106	2301	2119.38	0	0
FBtr0070937	2201	2019.38	2143.14	127.362
FBtr0070938	2487	2305.38	1181.86	61.5221
FBtr0070397	1267	1085.38	9	0.995103
FBtr0074346	819	637.382	0	0
FBtr0071471	1606	1424.38	0.929528	0.0783148
FBtr0330316	1609	1427.38	0.0704723	0.00592497
FBtr0074918	1253	1071.38	189.395	21.2144
FBtr0072124	2163	1981.38	357.132	21.6306
FBtr0071683	1189	1007.38	651	77.5523
FBtr0077403	1061	879.382	3.28901	0.448845
FBtr0113021	1089	907.382	0	0
FBtr0077402	1231	1049.38	0	0
FBtr0077401	1011	829.382	1.71099	0.247571
FBtr0300280	1584	1402.38	2	0.171148
FBtr0346378	3461	3279.38	0	0
FBtr0074809	2896	2714.38	808.319	35.7371
FBtr0335137	3353	3171.38	6.93957	0.262598
FBtr0346141	373	191.415	0	0
FBtr0085611	272	90.4307	6	7.96239
FBtr0074029	585	403.382	0	0
FBtr0075388	1505	1323.38	0.324833	0.0294566
FBtr0343534	2295	2113.38	2.67517	0.151908
FBtr0086001	1762	1580.38	7	0.53155
FBtr0321315	1239	1057.38	0	0
FBtr0333037	2846	2664.38	0	0
FBtr0075724	2737	2555.38	62.6127	2.94046
FBtr0075723	2084	1902.38	38.3873	2.42157
FBtr0342770	3744	3562.38	7.24248	0.24398
FBtr0070420	3766	3584.38	2350.76	78.7049
FBtr0342771	3838	3656.38	0	0
FBtr0333323	2883	2701.38	12.8366	0.570259
FBtr0333322	2930	2748.38	0	0
FBtr0074137	2347	2165.38	45.4288	2.5177
FBtr0074135	2386	2204.38	869.735	47.3487
FBtr0308136	1697	1515.38	0	0
FBtr0080237	698	516.382	0	0
FBtr0300638	3446	3264.38	0.666667	0.0245084
FBtr0073729	466	284.382	55.7895	23.5428
FBtr0084836	743	561.382	111	23.7286
FBtr0082430	1248	1066.38	0	0
FBtr0335211	1142	960.382	249	31.1145
FBtr0076857	1307	1125.38	7	0.746459
FBtr0300424	902	720.382	7	1.16612
FBtr0083860	1793	1611.38	0	0
FBtr0302327	1744	1562.38	2001.11	153.706
FBtr0083861	1877	1695.38	119.889	8.48631
FBtr0083086	1479	1297.38	239.076	22.1144
FBtr0334589	2552	2370.38	21.7863	1.10299
FBtr0091874	595	413.382	1.72632	0.501161
FBtr0073935	992	810.382	0	0
FBtr0073300	818	636.382	0	0
FBtr0073299	2460	2278.38	0	0
FBtr0088841	1522	1340.38	33.1844	2.97108
FBtr0088842	1468	1286.38	670.233	62.5265
FBtr0345599	2094	1912.38	0	0
FBtr0070422	1749	1567.38	2	0.153131
FBtr0342772	681	499.382	0	0
FBtr0070421	1547	1365.38	0	0
FBtr0333023	2495	2313.38	0	0
FBtr0075579	1678	1496.38	5	0.400992
FBtr0072248	2815	2633.38	0	0
FBtr0345620	2931	2749.38	0	0
FBtr0072247	2800	2618.38	3	0.137498
FBtr0072253	1306	1124.38	0	0
FBtr0343432	1090	908.382	269	35.5379
FBtr0073127	1478	1296.38	0.00654031	0.000605443
FBtr0073128	1471	1289.38	4.99346	0.464759
FBtr0079458	1541	1359.38	0	0
FBtr0079460	1595	1413.38	12.6262	1.07206
FBtr0079462	1526	1344.38	1.05501	0.0941762
FBtr0079461	1505	1323.38	1.05593	0.0957542
FBtr0079459	1585	1403.38	5.26287	0.450044
FBtr0081997	1156	974.382	297.777	36.675
FBtr0081996	1257	1075.38	16.1983	1.80765
FBtr0336761	1233	1051.38	66.0244	7.5362
FBtr0336637	3026	2844.38	4	0.168764
FBtr0300693	1964	1782.38	0	0
FBtr0336636	3290	3108.38	0	0
FBtr0071797	3770	3588.38	0	0
FBtr0336638	1523	1341.38	0	0
FBtr0087382	5033	4851.38	1488.82	36.8285
FBtr0339998	5235	5053.38	0	0
FBtr0301478	2790	2608.38	434.569	19.9938
FBtr0089521	2653	2471.38	106.622	5.17743
FBtr0306351	2221	2039.38	31.7284	1.86706
FBtr0306350	2503	2321.38	27.3919	1.41607
FBtr0330046	2653	2471.38	106.622	5.17743
FBtr0301477	4782	4600.38	18.0676	0.471318
FBtr0300224	1562	1380.38	0	0
FBtr0114515	1508	1326.38	1.37483	0.124391
FBtr0087406	329	147.415	0	0
FBtr0072888	2130	1948.38	0	0
FBtr0085859	1170	988.382	1	0.121418
FBtr0334894	6412	6230.38	2658.34	51.204
FBtr0084460	6624	6442.38	91.1658	1.69822
FBtr0304567	3987	3805.38	175.494	5.5344
FBtr0070907	2510	2328.38	2351.36	121.192
FBtr0070906	2636	2454.38	7.64426	0.373767
FBtr0305911	1961	1779.38	238.056	16.0553
FBtr0289953	2161	1979.38	104.944	6.36262
FBtr0305910	2015	1833.38	0	0
FBtr0088312	1656	1474.38	0	0
FBtr0088313	2297	2115.38	0.000108436	6.15167e-06
FBtr0088311	2351	2169.38	11.9217	0.659493
FBtr0304592	2591	2409.38	20.0782	1.00006
FBtr0088882	1935	1753.38	1286	88.0182
FBtr0079894	2382	2200.38	408.487	22.2786
FBtr0331635	2356	2174.38	56.6263	3.12529
FBtr0345615	2623	2441.38	91.2149	4.48372
FBtr0071338	3399	3217.38	3759	140.21
FBtr0334508	4486	4304.38	4	0.111521
FBtr0085746	3506	3324.38	0	0
FBtr0085085	1541	1359.38	1008.01	88.9883
FBtr0085084	2075	1893.38	10.9863	0.696338
FBtr0079304	905	723.382	0	0
FBtr0079732	925	743.382	1	0.161434
FBtr0071108	3145	2963.38	152.801	6.18796
FBtr0340139	3231	3049.38	0	0
FBtr0071107	3426	3244.38	1097	40.5772
FBtr0340138	4238	4056.38	48.1999	1.42599
FBtr0309839	4403	4221.38	0	0
FBtr0309836	4378	4196.38	0	0
FBtr0309837	3952	3770.38	0.000477033	1.51835e-05
FBtr0073144	4107	3925.38	5089.72	155.604
FBtr0309838	4006	3824.38	76.2759	2.3935
FBtr0075152	2917	2735.38	544	23.8665
FBtr0300092	607	425.382	0	0
FBtr0073892	1096	914.382	0	0
FBtr0343143	1534	1352.38	0	0
FBtr0332630	1663	1481.38	23.7346	1.92275
FBtr0332631	1364	1182.38	514.191	52.1885
FBtr0332632	5997	5815.38	328.865	6.78652
FBtr0301268	1587	1405.38	5	0.426957
FBtr0085909	2020	1838.38	6	0.391673
FBtr0080763	2304	2122.38	470	26.5756
FBtr0086733	1297	1115.38	311	33.4615
FBtr0087262	852	670.382	993	177.76
FBtr0303232	702	520.382	35	8.07149
FBtr0344155	6716	6534.38	562.097	10.3232
FBtr0070316	6065	5883.38	1239.9	25.2912
FBtr0344279	6745	6563.38	5	0.0914219
FBtr0076133	3030	2848.38	8	0.337054
FBtr0082259	2901	2719.38	1059	46.7341
FBtr0079708	1718	1536.38	186	14.5285
FBtr0330181	847	665.382	0	0
FBtr0074894	650	468.382	478	122.472
FBtr0082726	2913	2731.38	68.827	3.02402
FBtr0331429	2603	2421.38	37.455	1.85633
FBtr0331428	2948	2766.38	72.9036	3.1626
FBtr0082727	2606	2424.38	78.0631	3.86414
FBtr0301219	3098	2916.38	143.751	5.91528
FBtr0088166	1239	1057.38	0	0
FBtr0310646	1830	1648.38	16.1162	1.17331
FBtr0073730	1370	1188.38	1941.88	196.099
FBtr0079724	633	451.382	6.94196	1.84564
FBtr0346454	899	717.382	21.5754	3.60925
FBtr0100541	611	429.382	25244.5	7055.55
FBtr0343865	1567	1385.38	0	0
FBtr0079324	1294	1112.38	2	0.215767
FBtr0079598	1156	974.382	394.2	48.5507
FBtr0081220	1093	911.382	15.4645	2.0363
FBtr0300823	1159	977.382	0	0
FBtr0081221	1054	872.382	50.9948	7.015
FBtr0310645	979	797.382	159.541	24.0112
FBtr0081219	1084	902.382	0	0
FBtr0075314	465	283.382	158	66.9103
FBtr0070136	2103	1921.38	131.396	8.20686
FBtr0070137	2193	2011.38	0	0
FBtr0070135	2124	1942.38	209.604	12.9501
FBtr0076688	2391	2209.38	432	23.465
FBtr0346546	2609	2427.38	0	0
FBtr0302935	3103	2921.38	343.427	14.1076
FBtr0082329	3115	2933.38	146.573	5.99644
FBtr0344017	5279	5097.38	11.8568	0.279145
FBtr0091678	6366	6184.38	461.386	8.95315
FBtr0344016	5395	5213.38	0	0
FBtr0342985	4422	4240.38	134.117	3.79565
FBtr0071815	4360	4178.38	617.107	17.7239
FBtr0071816	4190	4008.38	44.1217	1.32096
FBtr0071813	4216	4034.38	7812.78	232.4
FBtr0342986	4124	3942.38	0.466658	0.0142052
FBtr0071814	4255	4073.38	57.3357	1.68919
FBtr0083049	682	500.382	276.805	66.3865
FBtr0079593	751	569.382	0	0
FBtr0332415	1011	829.382	36.8773	5.33597
FBtr0345640	3934	3752.38	125.079	4.00025
FBtr0077562	3784	3602.38	1674.92	55.7972
FBtr0085387	5031	4849.38	363.864	9.00451
FBtr0085386	4880	4698.38	528.136	13.4898
FBtr0085614	355	173.415	15.6205	10.8097
FBtr0303924	5093	4911.38	2	0.0488691
FBtr0303923	5120	4938.38	0	0
FBtr0300811	4420	4238.38	627	17.7532
FBtr0340626	2866	2684.38	0	0
FBtr0340627	2995	2813.38	0	0
FBtr0340628	2870	2688.38	0	0
FBtr0087784	1976	1794.38	3075.84	205.711
FBtr0332882	2246	2064.38	0	0
FBtr0339391	1899	1717.38	473.159	33.0634
FBtr0084095	7188	7006.38	66.3991	1.1373
FBtr0343807	7002	6820.38	0	0
FBtr0343805	4551	4369.38	166.377	4.56964
FBtr0343806	4719	4537.38	648.224	17.1446
FBtr0086801	711	529.382	7	1.58685
FBtr0344145	6340	6158.38	0	0
FBtr0100454	3868	3686.38	0	0
FBtr0082255	6557	6375.38	0	0
FBtr0082256	4226	4044.38	0	0
FBtr0100455	2462	2280.38	0	0
FBtr0088783	1907	1725.38	686	47.7141
FBtr0301333	1977	1795.38	0	0
FBtr0332689	1974	1792.38	0	0
FBtr0086107	5316	5134.38	2115	49.4345
FBtr0072159	694	512.382	7	1.6395
FBtr0076218	2574	2392.38	16.1838	0.811818
FBtr0076219	2478	2296.38	974.816	50.9433
FBtr0113346	1241	1059.38	1	0.113281
FBtr0100083	570	388.382	0	0
FBtr0079765	644	462.382	1	0.259542
FBtr0071734	1182	1000.38	1	0.119962
FBtr0071191	1056	874.382	86.7934	11.9122
FBtr0345988	1286	1104.38	19.2066	2.08709
FBtr0071902	1064	882.382	36.7379	4.99651
FBtr0332909	904	722.382	533.262	88.5894
FBtr0078892	1301	1119.38	4674	501.093
FBtr0073061	323	141.415	0	0
FBtr0081973	1959	1777.38	0	0
FBtr0333190	1343	1161.38	1	0.103332
FBtr0072990	764	582.382	286	58.934
FBtr0076205	2178	1996.38	21.2877	1.27966
FBtr0076204	2232	2050.38	203.712	11.9231
FBtr0081487	2064	1882.38	387.779	24.722
FBtr0331678	2435	2253.38	18.2214	0.97041
FBtr0086674	751	569.382	1392	293.389
FBtr0113686	2779	2597.38	35	1.61711
FBtr0113685	2706	2524.38	0	0
FBtr0072069	2783	2601.38	0	0
FBtr0072067	2762	2580.38	1.10936e-05	5.15938e-07
FBtr0072070	2827	2645.38	305.622	13.8645
FBtr0332926	2655	2473.38	0	0
FBtr0072068	2775	2593.38	15.5292	0.718607
FBtr0072066	2608	2426.38	83.8488	4.14711
FBtr0087059	1547	1365.38	1125	98.8795
FBtr0074966	4094	3912.38	456.68	14.0081
FBtr0333896	4347	4165.38	82.3198	2.37169
FBtr0302288	1725	1543.38	0	0
FBtr0086613	5546	5364.38	75	1.67784
FBtr0091795	4018	3836.38	20	0.625628
FBtr0300891	3895	3713.38	0	0
FBtr0091794	5531	5349.38	0	0
FBtr0091793	5663	5481.38	0	0
FBtr0300892	5540	5358.38	0	0
FBtr0091792	3886	3704.38	0	0
FBtr0301734	675	493.382	128	31.134
FBtr0342889	1080	898.382	64.9056	8.67021
FBtr0071618	1141	959.382	64.0944	8.01745
FBtr0344856	10063	9881.38	0	0
FBtr0329838	8191	8009.38	0	0
FBtr0329840	7444	7262.38	9.35807e-08	1.54638e-09
FBtr0332236	5661	5479.38	0.00693753	0.000151943
FBtr0329844	5383	5201.38	183.38	4.23099
FBtr0329839	5484	5302.38	0	0
FBtr0329842	8096	7914.38	0	0
FBtr0332237	8123	7941.38	0	0
FBtr0336736	7649	7467.38	139.583	2.24323
FBtr0329846	9896	9714.38	0	0
